agent_index,axis_0,axis_1,axis_2,axis_3,axis_4,axis_5,axis_6,axis_7,axis_8,axis_9
0,0.0019973833863897897,0.1773663698671558,-0.08561831776801784,-0.1438169895098168,-0.019605082848655937,0.029847104610513927,-0.2841256491092556,0.014233787532319428,-0.0350467502161087,0.005559144176889597
1,0.03195689074293961,0.09223292103952087,0.06702124047543295,-0.0033299564094591413,0.04436122496538064,-0.06661975144068748,0.0013738180754181404,-0.11075431701312259,-0.09877935920566823,0.050274519895284
2,-0.049494836308307776,-0.10144087230620946,0.031246994971817668,-0.017385693271230254,-0.166260887472124,0.10390812666803423,-0.0007034157626319896,-0.00891622798494395,-0.16938871484690413,-0.033796269950716856
3,0.1390000987603718,-0.22016237921700318,0.01429366930838994,0.06207198314802575,-0.026294324787232214,0.01691896113470955,0.0011438408184662873,0.02011828331858288,-0.08481024016289956,-0.03182001276418471
4,0.07973331969832059,-0.1863345177601924,0.0056893001244090816,-0.03144045203267763,-0.0028197561039033443,0.01632976842836025,0.010536623707520525,-0.2656271365004415,-0.054230046513618305,0.14104624611246228
5,-0.0005525769493725823,-0.07950158452444736,-0.03695969507167605,-0.0011930350771563395,0.07781483487106862,0.03458682232774794,-0.029670636778661674,-0.14091306752578514,-0.07221947877593111,0.10600096719879849
6,-0.09390761447654807,0.04623698508820864,0.0011803871449901874,-0.19137527324624523,0.002040046891403225,-0.02352897481051574,0.041082198223090886,-0.0004579729345533847,0.07530278289488228,0.06906737444066563
7,0.05761487182779298,0.07848567455648375,0.1498922631691046,-0.032206867933952825,0.0026699546631807703,0.06686151427299517,-0.029247716966251735,0.06894481654951505,-0.00836777398131665,-0.13429802880867714
8,-0.008223311914632879,0.02384074924758444,-0.05675231001237058,-0.0427913375714645,0.03437327291343072,0.08039372439292858,-0.015470545372100885,0.019183483043718686,0.018997761277680863,-0.07685616606286075
9,-0.011119371858423769,0.03017306614359346,-0.026496136584230768,0.0093750474373543,0.0003817717085100613,-0.05398643670380207,-0.2543478663398533,-0.07762880896194783,-0.021988839142286505,-0.07752391565116315
10,0.07241457684838896,-0.02363634576646048,-0.10158395481524314,0.2239465449226552,0.0004690774080914914,0.034691635115836617,-0.030439345797220463,0.05407370340411063,-0.14831764772183267,-0.00805092963104981
11,0.0024454637591361213,0.11809993787049333,-0.00012981055156037428,0.001758977705760178,0.13858699465833998,0.0048246282907976465,0.08759954046815244,-0.020224640463142214,-0.042222398942725684,-0.02251996561047182
12,0.001103724712505334,-0.051927632929198456,0.009995209358486586,0.029539114343077235,0.011842202552474592,-0.007199812797730604,0.05434760551519362,0.12531682216992024,-0.008383603671519357,0.08283092776145477
13,0.011265109472753923,-0.023549745889744927,-0.0009818795350838084,0.15435745512592627,0.025759209465255995,-0.025676281314990303,-0.04528261835269199,-0.051799682956800264,0.021630729012144967,-0.004563377198972059
14,0.04660844302072542,0.07623651470376183,-0.04027963475436613,-0.023603398950200763,-0.119325073659692,-0.004202829439916579,-0.0828216266687318,-0.055471536029517106,0.0939761475168849,0.06420419474002635
15,-0.024869456089860114,0.03760456583512492,-0.10493795460515987,0.021165084244420054,-0.037320412497754994,0.0061048464223006655,0.0222151467379327,-0.06977109704442336,0.039473807606543954,0.08309761590194749
16,0.07295516005672298,-0.04795660495476741,0.020367011615562033,0.006217200329239247,0.027310200719193333,-0.12471186330965311,0.0073362633572797145,-0.0014189209749567732,0.06399759308532052,0.021363475078416384
17,0.00674452030876998,0.01737391536310959,0.01122794516073312,0.06569273751766884,-0.0691844755059181,-0.08451667171766206,0.07008585035726575,-0.0064701975794897336,-0.16228100359942876,-0.01211050980385771
18,0.0005966778699287267,0.009482913765126003,-0.04432533500026441,0.02134065364553238,0.15561987937659932,0.06033184922934717,0.07002337408018167,-0.028422300300634303,0.038364337042432854,0.04236880138575002
