seed,channel,alarm_count,any_alarm,completed_steps
1835086300,entropy,0,False,300
1835086300,g,0,False,300
1835086300,L,0,False,300
1835086301,entropy,0,False,300
1835086301,g,0,False,300
1835086301,L,0,False,300
1835086302,entropy,0,False,300
1835086302,g,1,True,300
1835086302,L,0,False,300
1835086303,entropy,0,False,300
1835086303,g,0,False,300
1835086303,L,0,False,300
1835086304,entropy,0,False,300
1835086304,g,0,False,300
1835086304,L,0,False,300
1835086305,entropy,0,False,300
1835086305,g,0,False,300
1835086305,L,0,False,300
1835086306,entropy,0,False,300
1835086306,g,0,False,300
1835086306,L,0,False,300
1835086307,entropy,1,True,300
1835086307,g,0,False,300
1835086307,L,1,True,300
1835086308,entropy,0,False,300
1835086308,g,0,False,300
1835086308,L,0,False,300
1835086309,entropy,0,False,300
1835086309,g,0,False,300
1835086309,L,0,False,300
1835086310,entropy,0,False,300
1835086310,g,0,False,300
1835086310,L,0,False,300
1835086311,entropy,0,False,300
1835086311,g,0,False,300
1835086311,L,0,False,300
1835086312,entropy,0,False,300
1835086312,g,0,False,300
1835086312,L,0,False,300
1835086313,entropy,0,False,300
1835086313,g,0,False,300
1835086313,L,0,False,300
1835086314,entropy,0,False,300
1835086314,g,0,False,300
1835086314,L,0,False,300
1835086315,entropy,0,False,300
1835086315,g,0,False,300
1835086315,L,0,False,300
1835086316,entropy,0,False,300
1835086316,g,0,False,300
1835086316,L,0,False,300
1835086317,entropy,0,False,300
1835086317,g,0,False,300
1835086317,L,0,False,300
1835086318,entropy,0,False,300
1835086318,g,0,False,300
1835086318,L,0,False,300
1835086319,entropy,0,False,300
1835086319,g,0,False,300
1835086319,L,0,False,300
1835086320,entropy,0,False,300
1835086320,g,0,False,300
1835086320,L,0,False,300
1835086321,entropy,0,False,300
1835086321,g,0,False,300
1835086321,L,0,False,300
1835086322,entropy,0,False,300
1835086322,g,0,False,300
1835086322,L,0,False,300
1835086323,entropy,0,False,300
1835086323,g,0,False,300
1835086323,L,0,False,300
1835086324,entropy,0,False,300
1835086324,g,0,False,300
1835086324,L,0,False,300
1835086325,entropy,0,False,300
1835086325,g,0,False,300
1835086325,L,0,False,300
1835086326,entropy,0,False,300
1835086326,g,0,False,300
1835086326,L,0,False,300
1835086327,entropy,0,False,300
1835086327,g,0,False,300
1835086327,L,0,False,300
1835086328,entropy,0,False,300
1835086328,g,0,False,300
1835086328,L,0,False,300
1835086329,entropy,0,False,300
1835086329,g,0,False,300
1835086329,L,0,False,300
1835086330,entropy,0,False,300
1835086330,g,0,False,300
1835086330,L,0,False,300
1835086331,entropy,0,False,300
1835086331,g,0,False,300
1835086331,L,0,False,300
1835086332,entropy,0,False,300
1835086332,g,0,False,300
1835086332,L,0,False,300
1835086333,entropy,0,False,300
1835086333,g,0,False,300
1835086333,L,0,False,300
1835086334,entropy,0,False,300
1835086334,g,0,False,300
1835086334,L,0,False,300
1835086335,entropy,0,False,300
1835086335,g,0,False,300
1835086335,L,0,False,300
1835086336,entropy,0,False,300
1835086336,g,0,False,300
1835086336,L,0,False,300
1835086337,entropy,0,False,300
1835086337,g,0,False,300
1835086337,L,0,False,300
1835086338,entropy,0,False,300
1835086338,g,0,False,300
1835086338,L,0,False,300
1835086339,entropy,0,False,300
1835086339,g,0,False,300
1835086339,L,0,False,300
1835086340,entropy,0,False,300
1835086340,g,0,False,300
1835086340,L,0,False,300
1835086341,entropy,0,False,300
1835086341,g,0,False,300
1835086341,L,0,False,300
1835086342,entropy,1,True,300
1835086342,g,1,True,300
1835086342,L,0,False,300
1835086343,entropy,0,False,300
1835086343,g,0,False,300
1835086343,L,0,False,300
1835086344,entropy,0,False,300
1835086344,g,0,False,300
1835086344,L,0,False,300
1835086345,entropy,0,False,300
1835086345,g,0,False,300
1835086345,L,0,False,300
1835086346,entropy,0,False,300
1835086346,g,0,False,300
1835086346,L,0,False,300
1835086347,entropy,0,False,300
1835086347,g,0,False,300
1835086347,L,0,False,300
1835086348,entropy,0,False,300
1835086348,g,0,False,300
1835086348,L,0,False,300
1835086349,entropy,0,False,300
1835086349,g,0,False,300
1835086349,L,0,False,300
1835086350,entropy,0,False,300
1835086350,g,0,False,300
1835086350,L,0,False,300
1835086351,entropy,0,False,300
1835086351,g,0,False,300
1835086351,L,0,False,300
1835086352,entropy,0,False,300
1835086352,g,0,False,300
1835086352,L,0,False,300
1835086353,entropy,0,False,300
1835086353,g,0,False,300
1835086353,L,0,False,300
1835086354,entropy,0,False,300
1835086354,g,0,False,300
1835086354,L,0,False,300
1835086355,entropy,0,False,300
1835086355,g,0,False,300
1835086355,L,0,False,300
1835086356,entropy,0,False,300
1835086356,g,0,False,300
1835086356,L,0,False,300
1835086357,entropy,0,False,300
1835086357,g,0,False,300
1835086357,L,0,False,300
1835086358,entropy,0,False,300
1835086358,g,0,False,300
1835086358,L,0,False,300
1835086359,entropy,0,False,300
1835086359,g,0,False,300
1835086359,L,0,False,300
1835086360,entropy,0,False,300
1835086360,g,0,False,300
1835086360,L,0,False,300
1835086361,entropy,0,False,300
1835086361,g,0,False,300
1835086361,L,0,False,300
1835086362,entropy,0,False,300
1835086362,g,0,False,300
1835086362,L,0,False,300
1835086363,entropy,0,False,300
1835086363,g,0,False,300
1835086363,L,0,False,300
1835086364,entropy,0,False,300
1835086364,g,0,False,300
1835086364,L,0,False,300
1835086365,entropy,0,False,300
1835086365,g,0,False,300
1835086365,L,0,False,300
1835086366,entropy,0,False,300
1835086366,g,0,False,300
1835086366,L,1,True,300
1835086367,entropy,0,False,300
1835086367,g,0,False,300
1835086367,L,0,False,300
1835086368,entropy,0,False,300
1835086368,g,0,False,300
