arm,defense_arm,seed,steps_completed,last_completed_step,end_reason,final_population,g_steps,population_step_149,population_step_160,shock_loss,resilience_stock_step_49,resilience_stock_step_149,depletion_step,no_alarm_before_150,VETO_entry_step,CONSENSUS_entry_step,held_action_attack_modified,audit_file,recorded_steps_equal_completed,elapsed_seconds,entropy_first_alarm_step,g_first_alarm_step,A_first_alarm_step,entropy_alarm_minus_depletion,g_alarm_minus_depletion,A_alarm_minus_depletion,imposed_resilience_audit
A3,GRADED,1835087900,300,299,step_limit,192,26,269,153,116,0.3874634203486307,0.2000005262398734,150,False,119,152,True,defense_heldout_run_a3s_run_A3_GRADED_1835087900_audit_attempt1.json,True,707.789048799983,153,152,119,3,2,-31,defense_heldout_run_a3s_run_A3_GRADED_1835087900_audit_attempt1.json
A3,GRADED,1835087901,300,299,step_limit,350,19,297,193,104,0.38564979642285585,0.3408350643827984,150,False,102,138,True,defense_heldout_run_a3s_run_A3_GRADED_1835087901_audit_attempt1.json,True,704.4621484999952,154,155,102,4,5,-48,defense_heldout_run_a3s_run_A3_GRADED_1835087901_audit_attempt1.json
A3,GRADED,1835087902,300,299,step_limit,247,20,360,216,144,0.5057023199226452,0.3865526076855733,63,False,55,65,True,defense_heldout_run_a3s_run_A3_GRADED_1835087902_audit_attempt1.json,True,706.8383250999905,154,155,55,91,92,-8,defense_heldout_run_a3s_run_A3_GRADED_1835087902_audit_attempt1.json
A3,GRADED,1835087903,300,299,step_limit,224,24,361,192,169,0.36926340217537623,0.20000047514950473,150,True,152,154,True,defense_heldout_run_a3s_run_A3_GRADED_1835087903_audit_attempt1.json,True,702.6194420999964,155,152,154,5,2,4,defense_heldout_run_a3s_run_A3_GRADED_1835087903_audit_attempt1.json
A3,GRADED,1835087904,300,299,step_limit,301,31,310,194,116,0.3666888455701755,0.38636882185351373,150,False,84,95,True,defense_heldout_run_a3s_run_A3_GRADED_1835087904_audit_attempt1.json,True,705.9366048000229,155,155,84,5,5,-66,defense_heldout_run_a3s_run_A3_GRADED_1835087904_audit_attempt1.json
A3,GRADED,1835087905,300,299,step_limit,150,26,336,166,170,0.3679115865794103,0.20000047135474164,150,True,151,152,True,defense_heldout_run_a3s_run_A3_GRADED_1835087905_audit_attempt1.json,True,703.1301169000217,153,152,151,3,2,1,defense_heldout_run_a3s_run_A3_GRADED_1835087905_audit_attempt1.json
A3,GRADED,1835087906,300,299,step_limit,323,22,370,221,149,0.41428057144828856,0.3865451413077159,150,False,66,73,True,defense_heldout_run_a3s_run_A3_GRADED_1835087906_audit_attempt1.json,True,709.8904143999971,154,155,66,4,5,-84,defense_heldout_run_a3s_run_A3_GRADED_1835087906_audit_attempt1.json
A3,GRADED,1835087907,300,299,step_limit,247,31,314,156,158,0.39341540630840544,0.20000054294805217,150,True,151,152,True,defense_heldout_run_a3s_run_A3_GRADED_1835087907_audit_attempt1.json,True,711.2469471999793,152,151,151,2,1,1,defense_heldout_run_a3s_run_A3_GRADED_1835087907_audit_attempt1.json
A3,GRADED,1835087908,300,299,step_limit,268,21,257,184,73,0.35875482109226653,0.3865556227153737,150,False,43,56,False,defense_heldout_run_a3s_run_A3_GRADED_1835087908_audit_attempt1.json,True,710.7723128000216,43,156,null,-107,6,null,defense_heldout_run_a3s_run_A3_GRADED_1835087908_audit_attempt1.json
A3,GRADED,1835087909,300,299,step_limit,205,24,298,151,147,0.4724425048141562,0.2000007647897866,65,True,152,156,True,defense_heldout_run_a3s_run_A3_GRADED_1835087909_audit_attempt1.json,True,712.0618213000125,157,152,null,92,87,null,defense_heldout_run_a3s_run_A3_GRADED_1835087909_audit_attempt1.json
A3,GRADED,1835087910,300,299,step_limit,198,25,269,139,130,0.4675148854026501,0.20000075095716896,66,False,82,151,True,defense_heldout_run_a3s_run_A3_GRADED_1835087910_audit_attempt1.json,True,709.5254986000073,151,153,82,85,87,16,defense_heldout_run_a3s_run_A3_GRADED_1835087910_audit_attempt1.json
A3,GRADED,1835087911,300,299,step_limit,288,19,276,153,123,0.3679188578894257,0.2000004713751534,150,True,153,159,True,defense_heldout_run_a3s_run_A3_GRADED_1835087911_audit_attempt1.json,True,704.9565712999902,153,153,153,3,3,3,defense_heldout_run_a3s_run_A3_GRADED_1835087911_audit_attempt1.json
A3,GRADED,1835087912,300,299,step_limit,213,24,332,185,147,0.3667404697146663,0.20000046806722888,150,False,146,152,True,defense_heldout_run_a3s_run_A3_GRADED_1835087912_audit_attempt1.json,True,711.3927008999744,152,152,146,2,2,-4,defense_heldout_run_a3s_run_A3_GRADED_1835087912_audit_attempt1.json
A3,GRADED,1835087913,300,299,step_limit,270,27,299,155,144,0.39228988111381924,0.24208752794835947,150,False,140,147,True,defense_heldout_run_a3s_run_A3_GRADED_1835087913_audit_attempt1.json,True,711.6770421999972,153,152,140,3,2,-10,defense_heldout_run_a3s_run_A3_GRADED_1835087913_audit_attempt1.json
A3,GRADED,1835087914,300,299,step_limit,235,25,313,160,153,0.4672843666500764,0.2000007503100659,66,True,152,157,True,defense_heldout_run_a3s_run_A3_GRADED_1835087914_audit_attempt1.json,True,711.6374466000125,158,152,null,92,86,null,defense_heldout_run_a3s_run_A3_GRADED_1835087914_audit_attempt1.json
A3,GRADED,1835087915,300,299,step_limit,215,23,293,139,154,0.43158964615806344,0.20000065010926318,71,True,152,153,True,defense_heldout_run_a3s_run_A3_GRADED_1835087915_audit_attempt1.json,True,703.7831322000129,153,152,null,82,81,null,defense_heldout_run_a3s_run_A3_GRADED_1835087915_audit_attempt1.json
A3,GRADED,1835087916,300,299,step_limit,255,52,340,211,129,0.4044433267208284,0.38579154470435156,85,False,85,106,True,defense_heldout_run_a3s_run_A3_GRADED_1835087916_audit_attempt1.json,True,705.359525900014,154,106,85,69,21,0,defense_heldout_run_a3s_run_A3_GRADED_1835087916_audit_attempt1.json
A3,GRADED,1835087917,300,299,step_limit,214,23,340,167,173,0.3738665398235828,0.20000048807125007,150,True,153,154,True,defense_heldout_run_a3s_run_A3_GRADED_1835087917_audit_attempt1.json,True,704.0185890000139,155,153,154,5,3,4,defense_heldout_run_a3s_run_A3_GRADED_1835087917_audit_attempt1.json
A3,GRADED,1835087918,300,299,step_limit,235,24,284,152,132,0.44883352910899965,0.3865452383034073,68,False,66,73,True,defense_heldout_run_a3s_run_A3_GRADED_1835087918_audit_attempt1.json,True,709.9102402999997,153,154,66,85,86,-2,defense_heldout_run_a3s_run_A3_GRADED_1835087918_audit_attempt1.json
A3,GRADED,1835087919,300,299,step_limit,182,26,315,151,164,0.3623335523558853,0.2000004556963054,150,False,146,152,True,defense_heldout_run_a3s_run_A3_GRADED_1835087919_audit_attempt1.json,True,733.9697378999845,153,152,146,3,2,-4,defense_heldout_run_a3s_run_A3_GRADED_1835087919_audit_attempt1.json
A3,OFF,1835087900,300,299,step_limit,175,36,276,139,137,0.3874634203486307,0.2000005262398734,150,False,null,null,False,defense_heldout_run_a3s_run_A3_OFF_1835087900_audit_attempt1.json,True,707.4982840999728,154,152,119,4,2,-31,defense_heldout_run_a3s_run_A3_OFF_1835087900_audit_attempt1.json
A3,OFF,1835087901,300,299,step_limit,245,30,331,183,148,0.38564979642285585,0.2000005211487403,150,False,null,null,False,defense_heldout_run_a3s_run_A3_OFF_1835087901_audit_attempt1.json,True,708.9165032000165,154,152,102,4,2,-48,defense_heldout_run_a3s_run_A3_OFF_1835087901_audit_attempt1.json
A3,OFF,1835087902,300,299,step_limit,319,19,348,194,154,0.5057023199226452,0.20000085815541954,63,False,null,null,False,defense_heldout_run_a3s_run_A3_OFF_1835087902_audit_attempt1.json,True,707.1573124999995,155,152,55,92,89,-8,defense_heldout_run_a3s_run_A3_OFF_1835087902_audit_attempt1.json
A3,OFF,1835087903,300,299,step_limit,256,29,361,177,184,0.36926340217537623,0.20000047514950473,150,True,null,null,False,defense_heldout_run_a3s_run_A3_OFF_1835087903_audit_attempt1.json,True,707.5547779999906,154,152,154,4,2,4,defense_heldout_run_a3s_run_A3_OFF_1835087903_audit_attempt1.json
A3,OFF,1835087904,300,299,step_limit,178,24,274,158,116,0.3666888455701755,0.20000046792231163,150,False,null,null,False,defense_heldout_run_a3s_run_A3_OFF_1835087904_audit_attempt1.json,True,705.4874996999861,154,153,84,4,3,-66,defense_heldout_run_a3s_run_A3_OFF_1835087904_audit_attempt1.json
