arm,seed,schema_version,vector,mode,machine,replicate,defense_active,steps_requested,steps_completed,n_candidates_v2,rollout_steps_v2,is_v2_mode,attack_attempted,action_modified,defense_fired,yield_manipulated,succession_blocked,contamination_occurred,integrity_tamper_attempted,attack_succeeded,survived,collapsed,extinct,final_population,yield_condition_met_count,yield_condition_blocked_count,yield_checks,honest_yield_opportunities,evaluated_yield_opportunities,ratified_yields,capture_rate,max_total_suppression,min_resilience_stock,final_u_sys_v2,elapsed_seconds,parameter_dependency_rate,parameter_capture_strength,parameter_rotation_interval,parameter_defense_mode,parameter_defense_active,end_reason,executor_elapsed_seconds
as_published,1835087200,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,476,1,0,250,1,1,1,0.0,0.656,0.3275748916485445,149.54036986783854,138.31408889999148,0.05,1.0,10,both,True,step_limit,138.43110009998782
as_published,1835087201,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,504,1,0,250,1,1,1,0.0,0.656,0.3113898888716706,167.62312529178269,138.96114129998023,0.05,1.0,10,both,True,step_limit,139.09190699999453
as_published,1835087202,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,440,1,0,250,1,1,1,0.0,0.656,0.3151275683495272,147.55805658030712,137.5280303999898,0.05,1.0,10,both,True,step_limit,137.66519610001706
as_published,1835087203,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,482,1,0,250,1,1,1,0.0,0.6240000000000001,0.29938140934140717,161.63731855517455,138.04519679996883,0.05,1.0,10,both,True,step_limit,138.18086299998686
as_published,1835087204,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,399,1,0,250,1,1,1,0.0,0.656,0.314816872625785,131.70760286093306,138.83029870002065,0.05,1.0,10,both,True,step_limit,138.96847700001672
as_published,1835087205,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,461,1,0,250,1,1,1,0.0,0.656,0.3301449419803456,134.42792107271273,139.7077701999806,0.05,1.0,10,both,True,step_limit,139.8285387000069
as_published,1835087206,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,491,1,0,250,1,1,1,0.0,0.6240000000000001,0.3066969480010756,157.77898939562118,139.1980586000136,0.05,1.0,10,both,True,step_limit,139.3258158999961
as_published,1835087207,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,507,1,0,250,1,1,1,0.0,0.656,0.3176907888339295,161.14200581713294,138.36808699998073,0.05,1.0,10,both,True,step_limit,138.47755839995807
as_published,1835087208,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,433,1,0,250,1,1,1,0.0,0.656,0.276094892443016,137.33563643608719,143.93169279996073,0.05,1.0,10,both,True,step_limit,144.0642601000145
as_published,1835087209,attack-v2-row-v1,biological_veto_capture,full,YOTKOTEST,0,True,300,300,300,20,True,True,False,True,False,False,False,False,False,True,False,False,490,1,0,250,1,1,1,0.0,0.656,0.3052777191499976,168.11673919469177,139.48606520000612,0.05,1.0,10,both,True,step_limit,139.61161240004003
